id,title,verdict,reason,has_photo,step_count,ingredient_count,source_prefix
canada-simple-breakfast-soup,Simple breakfast soup,KEEP,cookable,1,4,10,canada
canada-sizzlin-sesame-greens,Sesame greens,KEEP,cookable,1,4,8,canada
canada-slow-cooked-lasagna,Slow-cooked lasagna,KEEP,cookable,1,4,13,canada
canada-slow-cooker-burrito-bowls,Slow-cooker burrito bowls,KEEP,cookable,1,6,9,canada
canada-smoked-fish-white-hominy-corn-soup,Smoked fish and white hominy corn soup,KEEP,cookable,1,3,8,canada
canada-spaghetti-turkey-meatballs,Spaghetti and turkey meatballs,KEEP,cookable,1,12,12,canada
canada-spiced-butternut-squash-soup,Spiced-up butternut squash soup,KEEP,cookable,1,4,9,canada
canada-spiced-tofu-lentils-turmeric-rice,Spiced tofu and lentils with turmeric rice,KEEP,cookable,1,6,20,canada
canada-strawberry-pancakes,Strawberry pancakes,KEEP,cookable,1,4,10,canada
canada-sweet-potato-curry,Sweet potato curry,KEEP,cookable,1,4,9,canada
canada-sweet-sour-grapes,Sweet and sour grapes,KEEP,cookable,1,5,2,canada
canada-tempeh-nuggets,Tempeh nuggets,KEEP,cookable,1,7,14,canada
canada-terrific-tuna-tomato-salad,Tuna and tomato salad,FIX,sparse steps for ingredient count,1,2,10,canada
canada-three-sisters-tacos,Three sisters tacos,KEEP,cookable,1,6,12,canada
canada-toasted-barley-wild-rice-salad,Toasted barley and wild rice salad,KEEP,cookable,1,3,13,canada
canada-tofu-banh-mi-rice-bowl,Tofu rice bowl,KEEP,cookable,1,7,23,canada
canada-tofu-berry-sheet-tart,Tofu and berry sheet tart,KEEP,cookable,1,6,7,canada
canada-tofu-butternut-squash-pasta-shells,Tofu and butternut squash pasta shells,KEEP,cookable,1,9,15,canada
canada-tofu-masala-curry,Tofu masala curry,KEEP,cookable,1,3,14,canada
canada-tofu-pasta-primavera,Tofu pasta primavera,KEEP,cookable,1,6,11,canada
canada-tofu-vegetable-stir-fry,Tofu and vegetable stir fry,KEEP,cookable,1,4,12,canada
canada-trout-roasted-vegetables-low-bush-cranberry-relish,Trout with roasted vegetables and low bush cranberry relish,KEEP,cookable,1,7,16,canada
canada-turkey-chili,Turkey chili,KEEP,cookable,1,3,14,canada
canada-turkey-stir-fry,Turkey stir-fry,KEEP,cookable,1,4,13,canada
