id,title,verdict,reason,has_photo,is_historic,step_count,ingredient_count,abv_present,glass_present
cck_08bdea544984df1b5e1c62,Hoffman House Cocktail,KEEP,,0,1,2,0,0,1
cck_08d30681592d32a6f342cb,Bayard Fizz,KEEP,,0,1,6,0,1,1
cck_08d71af4ae4ffa71173832,Brandy and Soda,DELETE,all_undefined_ingredients,1,1,4,3,1,1
cck_08dba097eeba45f52d4ad3,Mexican Firing Squad,KEEP,,0,0,3,4,1,1
cck_08e190eed2894a49c83d0d,Baby Guinness,KEEP,,1,0,3,2,1,1
cck_08e7baa0f9bb93a880b9c8,Marguerite Cocktail,KEEP,,0,1,4,0,1,1
cck_0921caa18e6ad262de16da,Lewis Cocktail,KEEP,,0,1,3,0,1,1
cck_09407a27a6bc653754bc47,Bambo Cocktail,FIX,vague_one_sentence;abv_missing;glass_type_field_missing,0,1,1,0,0,1
cck_094bbe4fe71907535b806d,Apple Grande,KEEP,,1,0,2,2,1,1
cck_094ee50dc1b1eb25055393,Manhattan Cocktail,KEEP,,1,1,1,0,0,1
cck_095fb89d46281c75c29914,West Indian Cocktail,DELETE,all_undefined_ingredients,0,1,2,1,0,1
cck_0964767ac9a2648ca23cf2,Delusion,DELETE,all_undefined_ingredients,0,1,7,3,1,1
cck_099ed0af495d9b3ba69b76,Astringent,FIX,abv_missing;glass_type_field_missing,0,1,1,0,0,1
cck_09a524080a57facd24ec36,Baldy Cocktail,DELETE,all_undefined_ingredients,1,1,6,3,1,1
cck_09adc185dd578c81977a09,Sukunabikona,FIX,abv_missing;no_image_modern,0,0,3,1,0,1
cck_09b1d257efac6cbf667a22,Moscow Mule (Modern Spec),KEEP,,0,0,3,3,1,1
cck_09bd34c912e48f811d8a4d,Train bleu,FIX,abv_missing;glass_type_field_missing,1,0,4,3,0,1
cck_09bda1233deb61ad23b9cf,Strawberry Daiquiri (Shaken),KEEP,,0,0,4,4,1,1
cck_09deab8a08664d0b558d0d,Hangman's blood,FIX,abv_missing;no_image_modern;glass_type_field_missing,0,0,3,6,0,1
cck_09ec09d2db932dc6cb2d86,American Revolution,FIX,abv_missing;no_image_modern;method_field_missing,0,0,5,6,0,1
cck_09f0bdbd01e4a94fc71f5e,Bull-Dog,FIX,abv_missing;method_field_missing,0,1,1,0,0,1
cck_09f2df37dbd4793d847545,Overall Julep--St. Louis Style,KEEP,,0,1,10,0,1,1
cck_09fa5f8eae865588f81e63,Modernista (cocktail),FIX,no_image_modern;glass_type_field_missing,0,0,2,8,1,1
cck_0a0a81d29433e0820bf76b,Habushu,KEEP,,1,0,3,1,0,1
cck_0a16dee675ad9699f31e78,Van Zandt Cocktail,FIX,abv_missing;glass_type_field_missing,0,1,2,0,0,1
cck_0a3142c2ec341f85afb576,Spritz,KEEP,,1,0,1,3,1,1
cck_0a34263b1401c0a0e9f41b,Bumbo,FIX,vague_one_sentence;no_image_modern,0,0,1,4,1,1
cck_0a37f8a9f9ff9ab52b5a89,Brandy Cocktail,FIX,vague_one_sentence;abv_missing;glass_type_field_missing,1,1,1,0,0,1
cck_0a57f2cc6032116009cde3,Kirschwasser Punch,FIX,abv_missing;glass_type_field_missing;method_field_missing,0,1,2,0,0,1
cck_0a5a384fbdf7fccc536111,Merry Widow Fizz,KEEP,,0,1,7,0,1,1
cck_0a89f9a3337512fc9cc628,Champagne Cup No. 1,KEEP,,0,1,2,10,1,1
cck_0aad5dd5715f72df355a25,Mezcal Negroni,KEEP,,0,0,3,3,1,1
cck_0aaf858b459b7ace877a7e,Quencher,KEEP,,0,1,5,3,1,1
cck_0abda12b7b9525109c4d85,Mint Julep,FIX,abv_missing;glass_type_field_missing;method_field_missing,1,1,2,0,0,1
cck_0ad24e39c90a2eb9d6d55c,Rosemary Blue,KEEP,,1,0,4,4,1,1
